Owner Income,House Age,Number of Rooms,Number of Bedrooms,Area Population,Price
497861,6.69,6,3,44020,9925096.86
386421,4.38,8,3,28425,5574726.08
555086,7.19,5,3,15753,9171449.91
455497,7.14,6,4,24853,6964284.11
479465,7.23,7,5,13999,8420914.81
389914,5.55,6,3,40088,5381263.3
400638,7.89,6,2,37375,8481587.17
597198,6.03,7,4,23974,10782927.54
421575,4.68,5,3,42183,4985598.94
517118,6.79,7,3,33336,10678733.87
442043,7.16,6,2,37579,7239528.8
410158,4.66,6,2,39288,6118725.62
516880,6.45,8,4,47603,13389777.03
531895,6.73,8,4,42249,12283394.13
575015,6.54,7,4,25736,9380468.37
483119,5.78,6,3,55831,10127298.02
528003,6.82,8,5,36769,11149377.68
486598,4.12,8,6,14054,4622554.86
404474,5.16,6,2,33427,6029251.06
520604,6.56,8,6,34322,11537727.39
444654,5.54,7,2,31996,6839951.23
428358,7.65,9,3,33196,11143539.33
422219,4.31,6,4,33832,4867704.31
409290,5.41,5,2,33548,3982839.49
526260,4.6,7,5,23978,6549135.6
393309,3.99,9,5,41856,6890182.39
512575,5.93,7,2,61831,12573720.67
520373,5.08,5,4,18057,5040561.61
365316,5.64,6,4,42496,5486658.8
583177,6.69,8,3,30386,11190311.79
506023,6.6,8,5,39147,10948876.68
384062,6.99,7,3,35193,6506364.41
600320,4.79,9,6,25898,9901467.38
416171,6.29,7,6,29698,5863676.7
489153,7.22,6,4,26814,8382608.15
414701,6.73,7,4,51405,8624033.81
404971,6.5,7,4,47688,9001533.87
466501,6.39,8,4,30971,9530653.86
484736,5.96,6,2,35990,7635784.59
525910,6.29,7,3,41620,10327237.9
533470,7.01,5,4,22722,7466615.66
485394,6.07,8,3,21642,7822030.86
543417,6.81,7,2,31740,9941984.92
482503,7.59,7,3,173,5881910.02
496937,6.01,5,2,30904,7174355.58
391027,7.75,9,5,40335,10459688.61
394667,5.71,7,4,43994,7881163.43
450142,4.81,8,4,30762,7577185.14
535836,6.5,7,3,40565,10882444.93
399714,5.49,8,6,41104,7079557.52
533351,7.3,7,6,21246,10029295.64
557102,5.78,8,4,31773,11289022.85
495320,6.37,5,4,25982,6813099.02
538349,5.21,6,4,21658,4754602.93
453215,5.9,8,6,28880,8896999.58
363832,5.35,7,4,36360,6371477.14
428771,5.19,7,4,40890,7183902.6
411887,7.75,7,4,39555,10477106.78
553791,6.36,8,5,33772,10433773.42
532392,6.48,8,5,28471,10442869.43
366800,6.8,9,3,18092,6977398.75
542864,5.54,5,2,35834,7453980.17
449127,5.68,7,4,32339,6900248.53
498169,7.33,9,4,35175,13668356.8
594748,7.07,6,3,40447,12284784.12
417991,5.74,7,3,42602,7855682.52
544138,5.62,6,3,32075,8658522.11
599949,4.37,6,4,10424,6762590.94
491960,4.73,5,4,39663,5965880.69
485317,7.32,6,2,30098,8964689.09
510923,5.96,6,3,50567,8331494.57
459886,5.73,7,4,28742,7866957.98
533715,7.96,8,3,32016,11823843.01
374829,7.17,8,3,45504,11013434.53
515501,6.77,8,3,43152,11878843.62
593418,7.02,5,2,32384,9900007.04
406987,5.06,7,2,49338,5287044.77
433167,6.29,6,2,21397,5002945.01
527184,5.36,7,4,9488,6608010.92
569303,6.48,7,3,31232,10661955.36
545517,6.5,7,3,23183,9960417.67
592221,7.1,7,6,39683,13619330.62
507115,5.49,7,2,69554,12087033.49
402479,6.67,8,5,43204,7357866.81
610862,8.25,7,5,45161,15743857.78
437024,6.8,9,4,44116,10667405.98
504749,4.54,7,3,29981,7276622.71
389039,6.53,7,3,19560,5726405.3
436296,5.23,7,4,43364,7808266.13
517517,5.66,7,2,29569,8807251.6
444003,6.36,8,3,37999,10047965.97
513968,5.98,6,3,34712,8074293.08
526232,8.56,5,2,22367,9979224.43
396452,6.26,8,5,28139,7338454.83
473662,6.47,6,3,24758,8501376.66
461909,4.53,7,2,24057,5753013.49
379918,5.55,7,4,24233,5275565.89
528836,3.99,7,6,40043,8540009.31
491057,6.72,8,5,15255,7529725.77
521143,6.22,7,3,24838,9772576.45
468440,7.83,7,6,18868,7964613.51
479318,5.75,6,2,43147,8119675.13
532791,6.38,8,5,26482,10414949.16
428484,6.41,6,4,32046,7721507.08
418383,5.81,7,3,26203,6281037.84
551936,5.57,7,3,20654,8500243.99
530145,5.76,8,5,37268,9550543.66
544929,5.24,7,3,30232,8743650.51
393617,5.46,5,2,52657,6625354.61
624141,4.69,6,2,44016,11618636.26
436639,6.29,7,4,39076,8997796.92
482048,6,5,4,29802,6287973.3
577087,6.29,7,5,27546,10386937.19
426643,7.16,6,2,39754,9474418.94
488110,6.17,7,5,31720,8880926.67
528444,6.3,7,6,26014,10140016.88
564536,6.36,6,3,35092,9405240.6
588259,7.73,6,4,32767,10580764.25
536130,5.94,8,3,40643,11634271.32
444738,6.47,8,3,38129,8166712.4
470890,6.33,7,6,41780,9629433.59
356209,4.46,7,4,47731,5877469.22
564179,6.44,8,3,34488,11467857.73
462287,6.49,8,5,40164,9697803.22
569212,4.13,7,3,35590,8072632.68
475139,5.32,8,5,43301,9591249.29
485149,5.56,7,2,36851,8273140.26
428407,5.3,6,4,42790,6259757.49
494333,5.89,8,5,37866,9947950.67
489377,5.9,6,4,38441,7202751.29
454223,3.73,8,3,25905,6464556.91
489300,6.33,8,6,32679,11197441.29
553315,5.54,8,5,24722,9584302.49
535220,7.03,7,4,46851,12241479.67
408156,6.38,8,4,25509,8056144.18
396753,5.1,9,5,40785,7774191.25
411761,5.71,7,4,38683,8114449.56
565852,5.77,7,3,49864,12679640.54
473970,5.85,8,4,25222,8872103.8
490196,7.34,5,3,40513,9467833.83
252700,5.78,5,2,44902,4196528.14
470519,4.62,6,4,24000,5020492.89
445599,6.42,6,3,36392,7060988.06
500276,5.48,5,3,36378,7501172.77
440930,6.55,7,4,36913,9781393.02
485289,6.16,7,6,31055,9193132.13
664314,6.37,8,3,41662,14745576.02
557053,4.83,7,3,31756,9145212.37
516292,5.25,6,3,59485,9484502.65
461118,7.31,9,4,39786,11079359.13
370538,6.03,6,3,46521,5930085.28
579817,5.93,7,4,32027,9395721.79
517517,5.28,8,4,42702,9541608.3
409899,5.3,7,6,54167,8927229.92
362026,7.51,7,3,49639,9001466.11
488656,7.42,7,3,51453,12527252.71
557396,4.69,6,2,31639,8372450.31
679784,5.91,6,3,51470,13423088
520478,6.85,6,4,30091,9591920.73
507367,5.98,8,3,45160,11740429.75
511651,5.7,6,2,41796,10077999.96
363951,7.19,7,3,21760,7085838.97
465388,4.83,9,3,51712,10582201.91
568274,5.25,7,4,34141,7918081.64
553728,3.79,7,4,25768,5354023.22
525490,6.68,6,2,44683,11769214.52
312823,5.48,6,3,25121,2042069.75
516082,3.99,7,3,28667,7092765.47
448273,4.03,8,4,54131,8362967.41
489279,5.98,8,4,38181,10241021.42
516061,6.53,9,7,24723,10173295.44
559979,6.11,7,3,28068,9040544.73
430773,7.23,7,6,51154,11378556.07
329455,5.77,7,5,24126,3968273.47
576674,4.7,8,4,36655,10279592.68
565999,4.8,9,3,44385,11011741.86
426258,4.13,8,5,49077,6778523.64
464492,7.48,7,3,38023,9169901.23
549066,7.48,5,4,35220,9528535.1
428512,7.49,9,6,36495,10255843.29
454356,6.77,8,5,46677,11000254.79
560063,4.85,9,5,45890,11403687.26
499492,5.16,7,5,36998,8276349.76
507031,5.88,6,3,35039,7075695.97
470988,5.44,6,3,24943,6473099.78
438571,6.54,8,3,41468,9674771.96
447783,6.43,9,3,27405,9567093.62
519638,6.5,7,4,32876,9084948.32
418103,7.56,7,6,31202,8376813.83
567924,5.65,7,4,32312,8967793.24
479507,5.84,7,5,51747,10715107.06
385350,7.21,7,6,29424,8460654.02
537880,5.53,7,5,29860,9920929.69
444003,5.33,7,6,42997,8369213.72
634144,7.7,10,5,37224,17283459.13
396795,6.96,8,3,43322,8561703.78
484617,6.47,5,2,43072,8541935.85
482419,7,6,3,42745,9182355.98
423563,7.13,9,6,28410,8388195.2
600033,4.54,6,3,32058,8313263.84
434938,7.45,7,2,32157,9797638.06
514045,6.37,9,4,36240,11184437.39
389291,7.69,7,4,42259,9485155.96
496160,6.74,8,5,22432,7959414.33
472227,4.89,8,3,34573,7376705.7
591080,4.31,8,4,19835,8696950.71
474614,6.01,8,3,36130,8554287.14
438795,6.06,7,2,42019,7178227.91
499744,4,8,4,36010,6015995.86
413357,6.05,7,5,37741,8958627.65
615272,8.06,6,4,23876,11701686.15
491932,7.07,7,3,26630,10679212.53
508480,4.44,8,4,31471,6991418
440258,6.78,7,4,20317,7086250.99
355922,5.27,8,3,45357,8766934.4
550816,6.36,7,6,47812,13085191.77
534779,7.62,7,3,45281,12604801.44
435141,6.22,7,6,47747,9751702.94
525637,6.06,6,4,39457,8165908.59
432607,5.06,7,5,36327,6917225.07
542010,6.96,7,4,30108,10783364.27
520723,4.27,6,3,33763,6062995.26
437969,4.94,6,2,29366,3901535.4
482265,5.93,7,4,28852,7233036.79
481166,4.19,6,3,47445,7594617.8
519946,6.99,3,3,50234,9555568.26
568967,5.88,5,4,34933,8676218.67
604135,8.06,7,4,37854,14396849.39
415114,6.79,6,3,25297,7317767.31
569695,6.12,6,2,47897,11754433.18
448805,5.86,7,5,34312,8111199.81
633059,6.82,8,6,13340,11530950.76
531587,5.56,9,5,49975,11914634.48
490721,6.65,7,3,28281,9655704.66
489657,5.49,9,4,23734,9509687.18
460152,5.64,6,3,32964,6939791.74
376775,6.49,6,4,27373,6699823.55
606375,6.83,6,3,42759,11472784.89
485632,5.04,6,2,18226,4998995.68
478961,5.59,4,2,13346,5326132.14
481047,5.4,7,2,45887,9404760.26
490042,4.52,6,2,40325,7398955.55
466305,5.7,7,5,16654,7617556.94
412846,6.66,8,3,44072,9162885.41
451773,6.19,9,3,36678,10838257.5
532056,5.46,8,4,39843,9882243.77
609833,6.83,7,4,34672,11213330.52
439950,6.25,7,4,37764,8941082.36
464065,6.19,7,3,28112,7430864.14
442302,7.1,7,3,40081,7805092.05
519792,4.26,7,3,34684,7145897.71
501676,7.51,7,4,31352,10086733.02
381332,5.66,6,2,33534,5721641.17
596974,6.86,7,2,22888,9670758.51
504966,4.85,9,3,38259,8911469.28
462791,8.24,7,6,20795,9637002.69
469329,6.44,7,2,37937,9056228.16
625513,6.15,7,3,34064,12256357.54
351323,6.93,5,3,35044,3890679.87
511840,7.06,7,5,35427,11051803.07
475811,5.5,6,3,27865,6378415.19
502180,6.57,8,5,37031,11401263.51
471051,5.61,7,2,41838,8717806.72
491701,6.21,6,2,24648,6956076.54
547925,4.91,9,4,56300,12712693.98
590331,6.18,9,4,33107,10994083.38
556857,6.64,8,4,43637,11384249.24
557886,4.1,7,2,42046,8837460.03
498323,5.7,6,3,40656,8296586.34
522235,6.87,6,3,31638,9522305.52
498561,5.22,8,3,54678,9453213.84
566811,5.47,7,2,48037,10898914.04
357308,6.07,8,4,37730,6202252.91
455469,6.2,8,6,27940,7907291.07
533820,4.95,7,3,19263,7491680.14
542192,6.39,7,3,37998,11109107.52
527639,4.23,8,3,25549,8024251.06
557718,6.33,8,5,17863,9642131.45
450856,6.31,6,3,40818,7794995.95
475524,6.77,6,2,51145,11156857.53
526029,4.45,9,6,55578,10925228.09
387646,7.04,7,2,41417,6845866.44
546791,4.84,7,2,43346,9048146.73
570619,5.4,9,5,33263,10212388.06
492149,6.79,6,2,29572,7264463.36
639744,7.32,7,6,33380,12545783.74
357777,6.07,7,2,38408,6175192.24
697403,5.43,7,5,36951,13184367.56
508599,6.65,6,3,38568,8880202.52
503566,5.14,8,3,20097,8100326.08
486521,5.26,7,4,45267,8266925.24
527016,6.8,8,3,39220,12691307.51
397278,4.95,6,2,52718,6066662.42
546308,5.69,8,6,43772,11699450.98
523873,5.92,8,6,23637,7962273.13
361060,6.45,5,4,37511,4980494.68
596827,7.58,6,2,52359,13581367.59
348131,7.82,9,4,43559,10475264.52
537264,5.26,8,3,32296,10142965.77
452172,5.86,6,4,29669,6469902.53
621565,6.32,7,6,37995,12229032.06
489363,6.43,8,4,39347,11034003.47
629363,7.03,7,4,37296,11985964.97
533953,7.11,7,4,49251,12966628.57
387835,8.33,6,4,18257,7053172.28
477897,5.68,7,4,31159,7243454.33
498925,6.31,6,4,28923,7045811.71
371560,5.24,6,2,33083,5157589.71
466837,6.8,7,3,22619,7763044.03
431508,7.16,8,5,27809,9688981.61
560112,6.14,9,3,52470,14594186.53
438144,5.31,7,4,32210,5608362.34
494718,6.2,6,3,58256,9885699.25
577745,7.25,8,4,43272,13235524.26
578270,5.88,7,5,34881,12893329.68
593439,6.08,7,6,26953,10269526.19
363433,5.89,7,3,24734,4627303.52
482006,5.53,6,3,28847,6846247.38
373933,6.33,8,4,33573,8756176.03
494872,6.52,6,3,43313,9864671.6
496314,5.61,6,3,36769,8139226.34
434301,5.82,7,6,23250,6152039.25
429877,5.67,7,3,49175,9368973.53
408051,5.71,7,5,45033,7660435.79
495964,6.23,7,4,27025,8371284.18
459690,4.73,8,5,40116,7351679.3
453761,5.08,7,5,36481,6399619.03
478541,6.31,6,3,20668,6051386.32
494179,6.55,7,3,51615,11196352.93
475629,7.1,7,4,35681,9354493.61
677649,6.18,7,5,29269,12658390.29
467138,7.4,7,3,35193,9969983.59
564655,5.7,7,3,40952,10302597.76
527653,6.6,7,4,28301,9433357.36
456393,7.11,8,5,23581,8146191.62
551173,6.53,6,2,28884,10154371.64
466886,6.53,6,3,25897,6876086.28
411754,5.13,9,5,34142,6078201.29
525658,5.62,7,4,27248,8620583.51
480963,5.12,6,4,16668,4641901.88
477351,5.76,6,3,46821,8473476.41
588630,6.42,7,2,25128,9863231.49
484946,5.32,7,5,57408,9494692.69
446831,6.93,6,4,28929,7878333.4
494893,6.75,7,4,22988,7909830.74
477806,4.43,7,6,36205,7025498.41
438893,6.36,7,4,37816,9144574.67
538538,8.54,7,6,33433,12431123.32
461720,6.67,6,3,29803,7256796.68
546140,7.04,7,2,49601,13089504.4
486913,6.52,7,2,42014,9667600.11
636230,7.51,8,6,45519,15765703.38
398307,6.81,6,3,13704,5509277.48
414442,6.04,8,6,28805,6700985.62
457114,5.89,6,2,43819,8215867.03
604583,7.13,5,3,43683,11992131.9
500500,6.02,7,3,41871,9278524.15
485191,6.61,8,3,44237,10510482.71
544579,7.44,6,2,33847,11015061.61
389417,5.35,6,4,30884,4854967.32
495852,7.07,6,4,37048,10672107.53
435071,7.03,6,3,42785,7341727.47
468440,6.37,7,4,38859,9175348.77
559076,4.46,7,5,54228,10761306.99
512015,6.43,7,2,41209,8714169.52
381745,5.28,7,4,30852,5129132.68
505680,4.77,9,4,25013,7670646.41
330862,5.41,5,3,33422,3332045.08
577864,7.75,5,4,40086,11199379.59
505624,5.79,8,3,49669,11730780.04
501375,5.65,7,6,29090,8231083
501690,6.63,7,4,31709,7945555.45
603099,4.99,6,2,62964,12832460.06
576912,5.38,7,3,15290,7842448.39
486969,5.78,6,2,37491,7565151.86
466788,5.55,7,2,37226,8180022.69
502201,8.18,8,5,44675,13437852.61
388318,6.37,8,5,48022,10266240.39
463834,7.12,8,6,26264,8638260.68
457660,7.53,7,6,21641,8886404.38
514024,6.37,6,3,31148,8232782.53
533190,5.77,6,2,50352,9599088.94
508417,5.37,7,5,34119,8725563.98
452214,6.04,8,4,24117,7141881.95
391965,7.8,7,4,20896,7912907.87
408114,4.92,8,6,32759,6233919.02
466060,7.86,7,3,35827,9920109.78
516810,6.13,6,4,51386,9635450.44
606487,6.05,6,3,22432,9143449.77
563745,5.66,8,5,25692,8926460.06
360318,5.57,8,5,38952,6317646.58
485338,5.92,7,2,17187,6106185.19
388885,5.85,8,5,44903,6961619.35
448385,7.55,7,5,27805,9023057.54
537677,7.93,7,4,27770,11270046.2
546210,7.07,7,3,42433,12906044.55
538454,7.4,7,4,44921,13243645.45
446838,5.67,8,5,34482,10157546.63
483840,6.72,7,5,36632,10373585.32
458185,4.44,8,3,47741,8011345.16
371469,7.8,7,5,46133,8959618.57
416633,6.16,9,6,42177,8351149.17
453075,7.23,5,4,43834,8169833.77
587559,6.69,6,2,25569,8579289.32
492086,6.58,4,2,33458,7921332.37
555359,6.26,8,3,41521,11882511.2
445053,5.78,7,3,42323,9558478.23
455875,4.89,6,4,19162,4357147.55
590555,4.7,7,3,50521,10857663.67
534009,6.65,5,2,35213,9093887.81
395031,6.48,9,3,46059,9032272.55
583849,5.28,7,6,25351,8287188.07
524076,5.57,8,4,33769,9141540.24
389886,6.96,8,6,49507,8953825.79
417032,4.03,7,3,37154,5505913.14
487242,7.59,7,3,35427,11117373.61
473648,4.66,8,3,30546,6836543.14
527478,6.77,7,3,21574,8756065.99
446250,5.53,7,3,40582,7326389.35
505841,5.92,5,4,28428,7811546.96
484722,5.76,6,2,35006,7544695.13
458262,5.81,7,3,31298,7333824.89
753914,7.14,9,3,37619,16324775.18
411803,6.85,6,3,31237,6695046.82
662557,7.19,7,5,27798,13248364.85
348957,4.68,5,3,32512,1982456.91
